"Initials,date,course id,time(m),summary "
"RF,1/12/2023,DS-160,15,Set up time calendar project"
"RF,12-Jan,ACCT-318,67,Studied for Quiz"
"RF,12-Jan,BUSA-245,42,Read chapter 2"
"RF,13-Jan,ACCT-318,25,Took at home quiz "
"RF,16-Jan,BUSA-245,30,Studied for Quiz"
"RF,17-Jan,BUSA-245,62,Studied for Quiz"
"RF,17-Jan,ACCT-441,41,Read Case Study"
"RF,17-Jan,DS-160,28,Individual Assignment 1"
"RF,18-Jan,ACCT-318, 24,Example Problems"
"RF,19-Jan,BUSA-245, 30,Worked on labs"
"RF,20-Jan,BUSA-245, 20,Researched for presentation"
"RF,22-Jan,DS-160, 68, Studied for Quiz 1"
"RF,22-Jan,ACCT-318, 49, Studied for Quiz 2"
"RF,23-Jan,DS-160, 51,Individual project 2"
"RF,25-Jan,ACCT-441,70,Read over chapter 7"
"RF,26-Jan,ACCT-318, 20, Studied for quiz 3"
"RF,27-Jan,ACCT-318, 34,Studied for quiz 3"
"RF,27-Jan, ACCT-212,33,Worked practice examples"
"RF,30-Jan,BUSA-245,26,Studied for quiz 3"
"RF,30-Jan,DS-160,37,Individual project 3"
"RF,1-Feb,ACCT-441, 65,Worked on group project"
"RF,3-Feb,ACCT-212,92,Studied for Exam 1"
"RF,5-Feb,ACCT-212,74,Studied for exam 1 and practice problems"
"RF,6-Feb,ACCT-441,40, Read documents for case 1"
"RF,7-Feb,ACCT-441,57,Worked on case 1"
"RF,7-Feb,BUSA-245,26,Read chapter 3"
"RF,7-Feb,DS-160,51,Study for quiz"
"RF,9-Feb,ACCT-441, 24, met with group for porject "
"RF,9-Feb,ACCT-318, 30, Studied for quiz "
